num = 857
1 1 1 373
205 95 204 39
309 263 371 232
191 211 183 231
186 373 187 256
164 204 165 168
500 267 489 185
59 122 54 196
356 222 378 226
139 286 171 287
171 287 139 283
472 272 449 268
154 90 181 96
181 96 182 76
110 199 110 162
302 219 283 216
441 92 433 72
413 126 411 92
411 92 392 89
264 71 293 72
498 373 492 341
492 341 469 339
122 159 90 156
497 177 499 214
391 84 388 61
335 58 359 62
284 268 324 271
327 325 284 326
288 330 316 332
318 367 288 368
483 91 468 116
331 268 336 373
365 185 343 183
172 57 146 56
239 102 237 38
237 38 218 35
288 321 285 298
215 108 218 137
218 137 238 140
238 140 246 159
415 72 392 67
181 29 185 51
207 39 233 43
208 169 229 171
363 352 348 347
127 127 126 201
265 204 247 215
154 52 153 32
479 185 496 172
295 179 266 174
166 324 134 321
176 167 150 163
206 62 230 64
230 64 208 58
248 184 261 201
290 52 266 48
450 173 471 174
339 68 358 74
137 256 181 260
181 316 134 314
181 134 183 203
402 218 399 190
338 256 382 232
145 28 122 14
425 214 402 224
492 138 488 106
64 46 65 80
79 83 84 59
94 107 115 111
211 373 219 219
221 220 215 373
472 308 472 330
71 100 50 106
177 139 178 206
343 158 369 162
26 210 6 203
18 169 48 171
19 148 50 151
264 176 265 196
334 39 315 41
471 365 494 367
468 230 462 200
94 134 123 133
462 280 495 283
249 49 246 104
178 71 179 93
289 107 288 76
171 266 141 265
387 334 411 327
244 251 247 368
471 370 495 371
463 290 483 289
311 272 315 294
364 188 367 221
9 233 28 232
106 323 80 316
114 147 94 143
463 283 493 285
95 366 113 360
288 360 314 359
21 145 50 148
74 24 67 12
113 7 112 19
59 83 59 81
9 71 21 74
39 114 42 112
476 262 472 275
335 119 334 117
101 81 97 87
92 50 91 49
298 116 301 110
202 175 202 176
472 272 466 268
500 143 500 141
287 132 279 144
401 53 399 46
424 127 410 124
297 47 310 42
299 32 290 42
290 254 301 261
466 336 500 336
79 96 91 88
476 101 476 100
478 133 477 138
203 167 215 172
403 73 396 62
113 24 112 26
344 54 339 62
232 201 228 193
115 25 114 27
445 78 438 74
330 157 331 150
487 48 492 59
193 58 187 63
265 66 275 58
158 115 160 117
444 55 441 67
284 284 286 293
480 61 488 56
154 52 151 53
206 62 208 58
405 281 398 292
474 46 477 49
339 68 336 60
402 363 392 360
412 371 419 362
228 136 223 138
123 89 134 87
357 25 356 23
442 367 443 368
230 147 233 157
454 53 455 60
43 373 53 373
6 12 5 10
296 31 296 25
451 34 443 32
314 52 315 52
11 82 8 83
429 368 432 366
354 143 361 143
22 33 19 35
219 29 223 33
139 42 136 49
215 138 202 143
29 37 27 37
158 237 168 247
28 95 16 94
490 78 486 82
145 105 149 103
390 224 391 223
76 50 64 46
415 146 405 138
127 14 125 12
133 70 136 77
443 373 434 362
308 33 316 34
201 55 202 64
62 111 56 109
495 84 486 89
11 46 17 34
85 97 88 98
458 156 461 158
19 67 21 72
163 119 170 119
254 13 251 5
39 43 26 39
305 250 309 248
36 97 28 90
164 15 171 15
131 75 138 69
463 314 466 309
200 75 197 67
482 272 496 267
190 90 201 89
81 21 91 32
476 315 478 310
379 373 373 364
26 72 25 60
253 165 254 177
452 151 465 145
12 109 12 113
158 118 165 110
111 61 114 54
221 5 221 8
467 130 455 128
11 79 3 76
463 116 458 116
373 138 381 137
416 142 419 145
301 122 308 127
306 153 314 146
67 87 66 90
184 105 186 111
24 218 26 210
136 144 147 145
341 189 328 195
229 234 236 234
263 121 254 120
209 89 207 92
112 30 109 29
330 48 322 42
474 30 474 23
398 197 397 206
105 270 100 276
249 42 248 56
315 172 319 169
348 267 360 264
308 45 307 55
258 332 271 330
117 54 122 53
340 129 328 134
255 141 244 150
252 347 256 339
65 217 52 221
427 298 423 285
433 289 431 302
479 111 487 119
398 148 400 149
249 26 242 23
81 235 84 239
115 304 122 307
351 335 353 331
465 373 457 366
194 145 184 151
248 319 256 330
117 325 114 327
451 100 454 104
259 130 249 129
440 154 441 145
20 290 12 293
131 162 133 148
53 359 39 359
20 230 19 220
103 235 111 231
196 120 198 122
86 221 96 219
21 223 28 232
334 249 321 251
114 314 106 323
109 270 103 258
117 367 119 370
277 231 269 228
386 253 395 254
436 270 438 266
421 272 423 272
429 330 428 328
191 117 194 114
337 151 327 144
209 325 211 328
40 315 47 320
325 102 327 89
343 287 354 291
4 350 11 352
84 228 77 236
106 364 113 360
401 250 397 242
23 319 26 328
51 19 52 21
370 187 372 186
279 242 282 235
34 66 30 65
444 7 440 20
129 205 110 199
441 92 434 68
91 154 87 124
281 42 287 24
364 82 338 81
231 165 209 167
395 305 368 328
378 311 398 290
343 366 363 352
266 174 264 143
179 36 154 28
183 203 191 176
89 30 92 6
424 169 400 165
263 203 242 201
255 190 246 173
158 130 146 110
111 104 94 107
44 99 64 99
71 100 40 103
154 141 177 139
19 277 46 278
33 352 4 350
108 262 79 260
121 12 112 19
80 43 92 50
264 225 277 231
31 3 67 12
1 1 500 1
205 95 204 39
417 65 435 231
459 276 500 275
122 246 196 252
82 91 474 139
170 140 164 204
365 58 378 226
137 264 134 373
204 187 204 144
299 148 265 144
302 219 295 48
309 263 273 257
446 47 168 3
87 197 91 133
330 373 324 271
318 367 310 300
127 127 87 124
340 163 345 221
152 140 151 204
148 203 149 141
96 46 172 57
181 29 145 28
340 114 336 60
430 229 419 173
482 75 456 98
267 154 269 215
171 266 164 313
171 266 167 360
131 373 132 250
474 82 473 56
180 373 181 260
218 137 217 109
474 195 399 190
302 4 436 27
472 308 497 310
472 330 475 295
88 132 85 198
475 295 479 329
286 155 291 216
268 172 264 143
286 373 284 301
262 49 263 104
448 354 381 350
48 192 53 130
246 251 249 368
248 56 248 125
499 331 493 285
91 49 43 26
296 154 266 149
179 359 134 357
69 32 95 40
262 41 287 44
213 11 218 35
134 98 155 119
57 102 14 88
107 200 85 201
399 190 402 218
20 18 11 193
477 138 154 90
213 106 204 187
264 295 317 297
471 365 433 75
267 154 269 215
485 242 2 199
465 93 483 236
428 163 339 154
460 78 480 233
387 68 398 214
106 242 199 251
192 3 451 40
477 138 205 102
