num = 619
138 64 138 39
100 33 100 52
497 296 469 289
178 189 161 180
343 327 363 338
284 126 283 98
69 127 70 103
70 39 69 11
155 73 154 50
41 21 41 0
81 15 81 39
40 69 39 112
56 120 56 62
209 68 213 48
236 110 236 91
231 85 231 107
497 293 469 287
143 21 144 68
418 138 412 174
261 340 224 341
283 133 296 118
234 178 231 159
81 128 80 102
310 87 157 0
191 138 190 163
184 197 187 308
187 308 166 301
238 316 256 314
97 297 122 303
301 180 305 200
294 179 296 198
497 299 469 294
108 199 110 217
109 222 110 247
481 123 456 119
315 190 317 209
278 212 316 222
163 187 147 174
306 116 328 110
200 252 203 279
203 279 228 284
223 291 191 287
435 24 442 3
417 164 417 188
65 307 60 366
48 356 48 317
42 355 9 354
9 354 14 0
459 194 497 215
416 212 420 254
194 362 193 339
193 339 199 365
85 372 85 312
486 363 453 372
56 28 56 0
348 372 441 354
493 364 461 372
249 348 225 346
234 258 201 249
0 360 32 361
236 158 238 177
23 320 22 355
63 365 82 372
318 291 318 319
476 256 482 213
191 333 189 358
51 203 69 212
403 206 407 250
234 331 235 311
27 211 46 213
449 329 471 330
300 370 322 366
367 308 350 311
48 113 47 66
211 236 237 243
401 207 405 252
117 248 117 299
451 286 442 199
431 232 430 203
430 203 434 231
357 295 354 241
354 241 359 296
138 64 151 63
197 1 317 71
281 331 282 333
237 202 246 198
100 0 107 0
106 168 106 166
38 21 30 20
98 112 107 111
100 137 99 127
168 80 170 81
114 162 102 162
157 143 158 134
41 55 40 52
231 85 232 90
294 122 304 116
312 359 311 358
134 11 143 21
216 0 221 0
202 95 198 83
90 132 94 133
282 206 323 216
189 45 189 51
138 118 135 128
203 171 189 169
287 197 285 189
109 90 107 104
189 136 189 125
225 108 223 105
255 155 259 164
41 288 41 280
58 121 46 118
253 118 254 124
133 67 132 69
232 111 233 112
261 122 250 113
203 99 204 96
497 299 497 307
126 31 135 35
443 114 444 112
235 182 236 182
456 119 458 128
81 291 73 295
315 226 321 218
281 203 274 210
319 176 314 176
311 116 310 109
278 241 285 252
64 36 92 51
422 335 411 337
451 0 454 0
460 17 453 17
318 241 324 245
132 91 134 92
194 256 193 257
97 353 102 353
169 133 160 129
84 0 74 5
294 203 288 203
167 119 166 117
335 329 334 327
397 48 397 46
441 116 454 116
308 156 309 156
222 209 210 214
211 226 203 224
314 170 315 173
169 175 174 187
466 287 459 194
357 200 346 203
457 50 452 49
471 35 482 38
483 118 493 107
65 246 59 242
459 22 447 28
196 360 199 365
449 162 442 165
148 358 146 346
283 354 284 358
386 348 386 350
486 46 472 50
478 92 477 94
64 306 62 309
397 187 389 198
476 20 472 13
472 0 466 0
188 361 193 362
494 19 485 17
226 265 228 263
160 160 167 164
466 56 459 53
479 68 481 68
294 313 282 309
464 39 464 42
418 323 423 319
241 365 241 367
218 262 221 267
331 186 343 181
451 69 449 69
204 354 204 353
164 215 166 224
471 211 477 224
113 351 127 353
472 212 464 201
423 18 428 24
473 285 475 285
0 360 0 363
39 327 39 329
419 146 430 156
82 301 82 303
220 119 220 125
206 262 208 275
321 323 318 319
441 147 436 142
165 205 175 209
465 148 465 158
486 219 487 231
494 260 494 272
454 176 449 173
439 156 452 156
130 334 128 337
403 35 400 45
436 165 425 161
431 177 427 180
441 159 439 159
487 257 487 269
305 231 308 228
158 179 160 178
51 226 41 215
19 316 16 305
218 271 225 270
89 218 79 218
39 222 32 217
34 204 44 198
476 179 475 181
469 328 471 330
200 306 209 300
104 327 112 318
367 308 365 308
406 338 416 327
83 273 74 267
157 229 144 223
220 357 221 360
423 246 418 255
341 226 354 232
333 256 334 256
50 174 37 180
185 339 180 332
331 298 322 296
378 275 375 263
431 232 432 234
414 290 416 290
357 295 359 296
335 279 329 281
253 71 262 123
241 76 232 59
224 341 227 370
278 167 280 146
474 130 497 118
305 200 297 153
131 0 126 31
274 210 282 233
159 208 163 187
435 41 442 3
138 369 134 350
119 346 97 353
496 290 490 243
340 289 337 317
491 261 489 289
330 317 329 342
300 370 327 368
73 153 56 140
465 43 482 38
127 61 125 13
322 332 239 335
497 361 127 372
246 318 313 317
116 6 118 140
345 302 469 289
178 189 240 156
91 163 128 173
172 157 169 34
229 178 222 62
203 169 200 51
186 48 188 88
94 133 91 0
296 315 286 156
165 235 163 339
173 217 177 257
244 230 247 268
471 317 457 198
97 296 98 246
232 135 238 177
42 355 40 303
218 77 213 48
218 103 213 48
360 210 365 268
487 193 360 210
331 205 334 251
144 311 188 313
395 321 469 316
478 286 488 215
384 333 469 328
259 119 255 83
376 233 378 271
389 208 395 292
117 248 117 299
453 286 442 199
433 316 431 294
277 88 295 104
281 121 279 96
418 138 412 174
141 121 149 152
494 260 489 289
135 71 134 92
497 215 459 194
476 270 481 221
299 104 305 200
188 313 94 305
346 342 336 191
494 215 496 290
232 59 239 106
309 55 221 0
199 97 30 20
110 8 107 135
282 313 272 115
240 308 236 207
122 303 117 87
148 369 144 98
263 315 241 76
22 112 329 216
142 0 308 97
363 281 362 213
276 316 260 85
483 211 496 290
22 112 69 127
69 127 329 216
199 97 70 41
70 41 30 20
38 118 329 216
56 124 329 216
471 317 467 286
199 97 144 74
144 74 30 20
81 132 329 216
22 112 190 167
190 167 329 216
165 235 166 301
166 301 163 339
469 294 457 198
282 313 279 211
279 211 272 115
296 315 288 213
288 213 286 156
276 316 270 211
270 211 260 85
184 197 187 286
487 193 459 195
459 195 360 210
497 361 200 368
200 368 127 372
56 35 30 20
240 308 237 258
237 258 236 207
487 193 402 203
402 203 360 210
48 121 329 216
240 308 235 241
235 241 236 207
188 313 117 308
345 302 451 291
487 193 441 197
441 197 360 210
430 199 360 210
288 207 286 156
279 205 272 115
94 133 91 50
91 50 91 0
142 0 251 62
251 62 308 97
497 361 226 365
226 365 127 372
22 112 305 208
127 34 151 63
483 211 491 267
199 97 127 66
127 66 30 20
115 62 30 20
22 112 118 144
118 144 329 216
346 342 343 302
343 302 335 191
201 172 329 216
229 178 226 157
226 157 222 62
232 135 235 155
263 315 249 155
249 155 241 76
122 303 121 172
121 172 117 87
199 97 170 86
170 86 30 20
22 112 172 161
172 161 329 216
142 0 169 16
169 16 308 97
22 112 229 181
229 181 329 216
142 0 220 45
220 45 308 97
202 171 240 156
142 0 201 34
201 34 308 97
199 97 91 51
91 51 30 20
22 112 94 135
94 135 329 216
22 112 287 199
287 199 329 216
297 333 239 335
188 313 165 312
165 312 94 305
238 185 329 216
212 40 308 97
346 342 337 212
164 314 163 339
148 369 143 310
143 310 144 98
483 211 486 239
486 239 496 290
345 302 395 297
395 297 469 289
395 321 433 317
433 317 469 316
345 302 432 294
432 294 469 289
22 112 149 153
149 153 329 216
496 290 495 258
135 70 30 20
464 195 360 210
497 361 347 361
347 361 127 372
230 50 308 97
172 157 170 87
170 87 169 34
116 6 115 63
115 63 118 140
110 8 107 58
107 58 107 135
203 169 202 98
202 98 200 51
229 178 224 109
224 109 222 62
199 97 108 58
108 58 30 20
107 140 329 216
279 196 329 216
246 318 280 317
280 317 313 317
322 332 274 333
274 333 239 335
124 145 329 216
497 361 149 370
149 370 127 372
144 311 94 305
143 152 329 216
22 112 251 186
251 186 329 216
497 361 272 364
272 364 127 372
242 57 308 97
310 87 241 49
241 49 157 0
197 1 242 28
242 28 317 71
122 303 124 146
124 146 117 87
148 369 142 152
142 152 144 98
178 189 200 172
263 315 251 187
251 187 241 76
276 316 269 192
269 192 260 85
282 313 278 194
278 194 272 115
287 200 286 156
9 354 12 109
12 109 14 0
362 232 365 268
363 281 367 234
276 317 313 317
22 112 270 193
270 193 329 216
276 364 127 372
261 67 308 97
310 87 260 60
260 60 157 0
197 1 261 40
261 40 317 71
69 127 190 167
69 127 305 208
69 127 118 144
69 127 172 161
69 127 229 181
69 127 94 135
69 127 287 199
69 127 149 153
69 127 251 186
69 127 270 193
144 74 70 41
127 66 70 41
115 62 70 41
170 86 70 41
135 70 70 41
108 58 70 41
38 118 190 167
38 118 305 208
38 118 118 144
38 118 172 161
38 118 229 181
38 118 94 135
38 118 287 199
38 118 149 153
38 118 251 186
38 118 270 193
56 124 190 167
56 124 305 208
56 124 118 144
56 124 172 161
56 124 229 181
56 124 94 135
56 124 287 199
56 124 149 153
56 124 251 186
56 124 270 193
144 74 91 51
144 74 108 58
81 132 190 167
48 121 81 132
81 132 305 208
81 132 118 144
81 132 172 161
81 132 229 181
81 132 287 199
81 132 149 153
81 132 251 186
81 132 270 193
48 121 190 167
190 167 305 208
118 144 190 167
190 167 229 181
94 135 190 167
190 167 287 199
149 153 190 167
107 140 190 167
124 145 190 167
143 152 190 167
190 167 251 186
190 167 270 193
459 195 402 203
347 361 200 368
200 368 149 370
272 364 200 368
276 364 200 368
441 197 402 203
464 195 402 203
48 121 305 208
48 121 118 144
48 121 172 161
48 121 229 181
48 121 287 199
48 121 149 153
48 121 251 186
48 121 270 193
165 312 117 308
395 297 451 291
464 195 430 199
169 16 251 62
220 45 251 62
201 34 251 62
212 40 251 62
226 365 200 368
347 361 226 365
226 365 149 370
272 364 226 365
276 364 226 365
118 144 305 208
201 172 305 208
172 161 305 208
229 181 305 208
94 135 305 208
238 185 305 208
149 153 305 208
107 140 305 208
124 145 305 208
143 152 305 208
251 186 305 208
270 193 305 208
486 239 491 267
127 34 127 61
170 86 127 66
127 66 91 51
115 62 91 51
135 70 115 62
118 144 172 161
118 144 229 181
118 144 287 199
118 144 149 153
118 144 251 186
118 144 270 193
343 302 337 212
172 161 201 172
201 172 229 181
226 157 224 109
251 187 249 155
121 172 124 146
170 86 144 74
170 86 91 51
170 86 108 58
169 16 220 45
169 16 201 34
135 70 91 51
143 310 142 152
430 199 389 206
395 297 432 294
431 294 451 291
347 361 149 370
347 361 272 364
201 34 230 50
127 66 107 58
272 364 148 369
276 364 148 369
144 311 117 308
165 312 144 311
297 333 266 334
230 50 261 67
