num = 1030
0 148 43 144
56 66 258 41
258 41 309 111
312 175 322 263
349 255 369 271
447 81 447 109
405 304 403 266
652 72 662 157
636 76 640 114
0 519 693 519
674 348 655 351
655 351 651 329
651 329 673 329
314 299 310 341
321 355 324 310
636 473 664 474
664 474 637 476
343 320 346 300
147 77 166 83
171 98 162 117
162 117 142 126
308 383 307 430
354 510 386 514
291 486 300 252
339 292 336 496
326 500 326 470
387 378 428 415
427 409 425 381
395 438 397 401
434 504 431 483
0 220 26 218
630 173 628 147
6 243 0 292
395 490 394 454
463 169 461 145
426 252 482 257
482 257 426 257
674 322 652 323
29 229 0 231
179 69 146 62
146 62 119 76
547 159 547 181
550 184 549 161
0 210 23 208
620 198 643 203
45 177 48 146
526 248 523 222
510 222 508 252
567 249 567 224
554 223 554 249
426 175 445 174
27 224 0 226
598 251 595 225
653 260 622 261
622 261 651 263
484 335 481 287
536 267 535 286
672 198 693 200
577 197 608 197
594 253 592 224
32 255 36 236
550 224 550 249
575 401 580 439
665 179 668 199
487 198 485 222
485 222 484 198
491 194 523 195
569 288 570 308
124 208 129 171
29 283 20 331
0 510 169 515
649 380 650 403
661 404 662 428
232 165 237 130
28 304 21 344
490 192 523 193
636 462 684 461
222 298 220 340
152 408 148 451
1 452 9 403
52 441 48 476
133 169 129 206
574 224 574 201
296 157 294 126
296 124 301 146
56 265 46 300
248 438 253 414
492 376 492 352
99 478 102 438
137 439 133 477
46 335 39 353
61 378 57 405
97 439 93 477
234 476 208 475
114 477 119 441
370 507 371 481
365 481 365 504
360 507 359 477
276 104 280 125
621 272 609 248
609 248 609 226
0 236 26 235
578 287 576 264
212 321 214 301
69 407 64 450
33 440 29 475
285 508 245 500
237 416 233 444
80 303 74 342
162 300 159 341
159 341 164 302
154 408 150 451
222 511 225 490
225 490 225 515
375 267 387 271
257 20 256 20
674 348 675 347
396 328 428 367
412 325 413 326
462 475 462 478
323 383 321 383
624 473 625 473
302 337 310 341
328 310 327 310
636 473 634 473
124 100 123 101
308 437 308 442
689 279 690 283
419 399 422 402
444 516 447 516
135 110 134 113
414 395 411 392
161 115 158 104
684 385 686 386
394 348 392 348
167 16 165 16
420 451 422 453
159 102 161 97
414 414 414 416
405 408 405 409
302 339 312 341
141 92 141 87
148 82 146 82
368 344 377 351
396 400 397 401
146 107 146 94
434 427 436 441
467 144 472 150
424 502 418 498
590 396 589 394
677 233 678 222
644 395 644 393
415 494 405 492
670 375 677 375
369 455 367 457
430 265 433 278
438 294 433 306
426 246 426 257
655 250 661 237
672 383 675 385
247 61 246 48
378 458 381 461
425 178 429 178
237 196 232 189
551 442 549 444
313 259 313 250
446 438 440 442
449 290 443 288
590 437 589 438
538 438 540 441
650 209 647 223
516 445 516 449
557 245 550 248
523 449 524 447
266 178 267 192
488 439 493 439
231 201 231 207
610 253 598 251
653 260 654 261
508 307 507 307
227 277 225 290
537 450 539 452
565 450 562 449
457 230 460 216
602 454 606 450
287 246 279 253
496 321 495 324
444 457 437 457
244 114 235 118
588 193 585 195
130 297 122 292
598 309 595 308
89 81 90 82
34 218 33 232
282 377 278 377
541 379 540 379
552 509 563 502
666 198 668 199
631 439 630 440
286 309 283 323
464 219 462 217
226 160 212 161
508 161 521 156
641 311 638 323
149 335 149 331
599 451 597 443
540 183 537 197
188 265 199 257
196 291 184 293
283 289 287 291
208 205 221 205
261 175 258 175
361 476 347 474
587 358 597 362
252 342 251 344
685 442 693 449
634 453 636 462
692 189 686 198
82 119 89 116
136 295 138 297
183 143 172 134
252 303 254 301
110 354 113 354
240 486 241 494
144 254 156 255
508 253 512 251
91 355 91 357
141 381 145 385
75 95 71 104
300 160 299 151
188 252 186 238
111 332 113 334
598 427 602 426
32 353 37 339
50 399 57 405
540 490 542 484
182 478 190 478
384 505 370 507
70 302 66 297
208 358 211 353
578 277 578 276
208 372 208 386
183 339 193 329
29 356 29 358
175 207 173 209
86 253 83 253
63 245 63 247
601 289 606 283
210 328 211 328
209 322 197 326
241 355 236 358
188 398 186 403
62 450 64 450
200 216 200 203
184 299 184 302
174 404 178 404
233 456 233 444
76 325 76 326
81 440 78 437
162 300 164 302
202 404 203 406
113 329 125 329
222 511 225 515
415 72 433 5
668 302 660 265
125 102 144 82
342 371 348 447
434 359 437 400
657 205 657 229
307 456 309 475
650 165 657 202
660 506 640 515
620 198 650 209
465 397 439 394
198 73 231 74
241 71 241 89
26 273 36 236
554 311 529 306
195 59 160 58
243 217 245 254
91 94 82 119
569 193 563 162
630 352 649 347
651 400 674 397
271 488 266 431
404 504 387 491
65 121 75 95
208 475 212 448
270 96 280 125
623 287 609 226
220 404 222 425
234 347 234 328
234 347 234 328
56 66 1 412
294 493 309 111
447 109 433 5
531 475 462 475
462 478 531 477
327 434 332 314
320 403 316 498
350 329 348 505
412 367 415 494
408 496 412 367
407 515 403 358
392 348 391 488
377 351 374 510
387 338 386 514
365 456 366 343
353 501 357 333
383 398 354 377
496 321 495 287
569 288 512 288
638 289 642 334
189 98 208 78
125 265 106 395
87 395 121 113
657 288 625 292
131 351 131 306
552 509 463 510
264 124 255 217
613 335 613 291
232 108 218 250
10 476 66 101
96 121 62 120
180 133 168 249
566 149 563 183
240 486 0 482
75 476 118 123
63 357 29 356
202 475 205 410
211 412 208 475
210 351 176 351
80 303 74 342
197 489 0 488
306 496 339 501
657 229 657 205
442 462 440 486
160 58 195 59
194 164 225 163
115 171 165 168
86 174 57 175
683 436 656 160
469 430 467 287
514 432 508 288
564 160 490 158
114 477 48 476
217 235 106 242
216 87 182 478
102 143 86 253
223 440 17 437
532 222 525 141
526 113 465 112
587 117 645 118
383 333 382 511
466 431 463 287
552 288 561 435
662 377 452 377
556 289 561 435
516 432 512 288
464 219 655 225
289 206 271 488
232 254 43 265
166 475 204 87
604 432 599 286
31 336 149 331
70 302 96 121
87 395 205 395
653 309 448 309
257 47 227 442
257 47 248 438
246 482 276 104
155 128 127 396
309 111 277 489
649 380 648 427
86 99 43 395
253 268 236 478
114 351 111 305
692 284 685 202
157 233 176 100
627 401 446 398
422 82 424 502
428 375 300 252
56 66 43 144
43 144 1 412
428 375 324 278
324 278 300 252
683 436 672 328
672 328 656 160
428 375 346 300
346 300 300 252
0 519 294 519
294 519 693 519
339 292 300 252
0 519 336 519
336 519 693 519
408 496 412 401
412 401 412 367
422 82 423 409
423 409 424 502
56 66 30 217
30 217 1 412
422 82 422 251
422 251 424 502
422 257 424 502
672 322 656 160
28 229 1 412
464 219 523 222
523 222 655 225
510 222 655 225
464 219 567 224
567 224 655 225
554 224 655 225
28 225 1 412
464 219 594 224
594 224 655 225
615 261 609 226
653 309 481 309
481 309 448 309
464 219 550 224
550 224 655 225
627 401 575 401
575 401 446 398
464 219 488 219
488 219 655 225
529 195 525 141
653 309 570 310
570 310 448 309
223 440 149 439
149 439 17 438
223 440 52 439
52 439 17 438
240 486 46 482
46 482 0 482
574 224 655 225
662 377 492 377
492 377 452 377
223 440 102 438
102 438 17 438
240 486 99 482
99 482 0 482
197 489 99 487
99 487 0 488
137 439 17 438
240 486 131 483
131 483 0 482
97 439 17 438
114 477 94 477
94 477 48 476
92 482 0 482
113 482 0 482
223 440 119 438
119 438 17 438
464 219 609 225
609 225 655 225
56 66 28 235
28 235 1 412
66 438 17 438
223 440 33 439
240 486 28 482
31 336 78 332
78 332 149 331
225 485 0 482
0 519 224 519
224 519 693 519
422 82 428 362
428 362 424 502
683 436 678 395
678 395 656 160
288 519 693 519
353 306 300 252
350 519 693 519
412 359 300 252
0 519 417 519
417 519 693 519
