num = 1481
237 372 217 390
205 390 186 373
186 373 166 373
166 373 146 390
146 390 147 471
103 279 180 287
213 352 260 383
383 378 340 354
71 84 67 57
436 118 414 106
426 329 471 331
471 331 481 347
484 342 480 321
357 63 357 39
241 183 241 158
194 42 271 79
274 83 195 48
509 319 514 358
514 358 546 372
546 372 509 382
509 404 503 378
503 378 479 382
377 37 344 16
341 20 344 50
257 314 257 335
154 304 156 329
161 329 162 303
154 299 192 302
192 302 193 332
341 311 344 352
371 309 374 329
334 112 336 139
336 139 344 159
413 264 391 259
410 160 439 171
429 85 433 108
377 333 396 334
610 313 598 295
200 383 206 361
288 311 307 313
307 313 310 338
300 336 295 315
295 315 293 336
289 334 287 315
287 315 285 336
282 318 258 315
380 397 384 420
500 327 509 348
197 180 197 130
412 73 413 95
424 101 419 71
158 119 158 161
152 158 152 123
162 118 162 161
124 249 124 201
133 203 133 250
141 249 141 198
187 278 206 275
206 275 206 211
98 478 95 301
91 302 63 284
457 101 458 121
417 118 421 151
180 261 177 211
153 207 153 252
159 257 178 261
196 94 196 61
285 220 310 213
199 460 200 479
398 220 364 214
365 219 384 230
494 250 472 243
478 44 457 57
447 48 467 35
407 339 405 320
471 205 473 230
321 148 275 145
142 153 141 110
484 89 353 0
352 265 350 288
314 279 333 284
415 387 418 419
230 351 274 356
274 356 307 379
70 276 89 284
90 291 63 277
308 237 312 281
590 401 588 381
597 381 606 404
288 108 266 99
257 88 257 115
473 79 515 57
518 55 639 64
307 212 205 182
356 264 355 288
639 66 516 59
607 316 627 318
224 249 222 228
346 297 346 272
218 79 215 104
215 104 293 135
475 94 335 0
469 96 449 84
299 275 297 236
75 50 52 40
92 296 72 284
221 101 223 83
204 246 184 256
181 100 180 121
262 216 218 204
232 249 232 229
190 64 76 72
76 72 189 61
299 179 299 199
381 419 376 389
184 329 185 304
185 304 187 329
429 414 427 387
351 430 331 436
356 427 336 427
119 104 121 132
258 143 218 128
219 121 260 138
234 85 231 105
231 105 230 85
240 333 241 310
463 143 468 163
164 255 162 205
194 309 223 313
229 333 232 308
307 343 283 339
294 188 291 167
456 416 457 438
174 330 177 303
254 439 221 446
345 139 365 131
241 88 243 110
421 412 422 388
238 111 238 88
487 204 597 215
328 447 331 395
255 277 251 225
266 29 316 5
284 412 283 393
309 356 351 378
366 376 334 356
393 113 386 40
238 404 239 424
276 384 259 363
330 389 326 420
322 423 326 446
532 390 536 409
324 281 322 246
101 132 72 130
167 205 168 254
49 449 50 472
316 174 318 204
330 145 239 0
71 133 101 134
251 333 249 311
350 191 369 193
110 245 109 192
606 370 586 371
135 116 137 151
203 172 201 137
532 404 538 424
180 213 203 218
220 425 219 392
320 175 321 204
171 176 69 171
564 287 593 283
268 195 241 191
589 317 587 298
299 414 298 395
295 1 261 17
556 231 583 221
244 395 222 397
171 180 69 173
521 295 542 290
541 280 591 269
101 199 70 198
70 196 101 197
570 479 639 465
594 294 564 300
279 392 280 411
333 421 341 392
0 279 61 259
27 199 26 251
465 308 429 304
17 167 51 145
52 97 32 110
546 353 548 332
181 192 202 185
600 402 579 407
49 335 48 310
52 307 53 332
639 424 596 428
76 393 60 377
51 377 31 399
58 333 57 308
639 192 488 169
5 319 3 345
39 336 41 308
70 300 67 331
0 450 22 449
77 426 78 462
3 166 5 126
23 160 26 119
22 201 24 255
74 97 77 77
28 158 26 113
499 237 522 231
448 40 427 42
22 447 0 447
202 470 259 465
123 443 142 442
70 336 39 340
17 432 17 412
425 479 639 448
168 433 167 407
172 404 175 424
0 289 55 272
52 65 51 65
370 146 367 148
332 61 331 62
393 145 389 154
12 91 11 91
368 169 368 168
376 136 372 146
358 40 357 39
343 162 340 162
185 49 195 48
407 180 406 179
249 308 243 318
367 314 355 307
396 60 401 66
429 133 436 124
420 252 413 264
433 187 434 190
384 155 386 155
435 88 429 82
437 311 448 321
365 343 360 344
297 297 288 302
419 77 415 72
158 119 146 111
446 195 444 194
535 392 537 394
121 263 119 263
462 104 458 99
305 428 298 417
180 261 178 261
78 466 76 465
132 125 130 118
91 268 80 269
198 452 200 452
201 468 200 479
384 245 375 256
488 250 476 250
235 52 229 43
478 44 481 39
476 205 472 202
472 191 470 179
440 243 441 246
364 133 361 134
421 238 421 250
478 258 484 295
484 295 477 293
314 279 314 277
87 221 89 220
610 281 621 275
70 276 62 274
226 153 228 153
303 285 312 281
97 272 97 271
276 183 279 183
634 282 633 281
502 291 498 298
270 103 262 99
210 265 223 262
312 207 298 204
356 264 359 265
308 193 309 196
237 185 244 186
607 316 611 309
629 282 628 280
476 372 474 374
0 70 49 42
388 290 379 290
235 256 226 260
82 292 72 284
435 138 434 137
605 217 603 217
241 239 232 229
539 390 541 398
190 64 189 61
426 330 429 332
258 338 252 338
569 392 576 383
184 329 187 329
425 392 427 387
494 421 499 412
351 430 358 441
243 84 248 95
191 335 196 337
454 337 453 335
370 318 370 322
637 317 630 323
234 85 230 85
392 390 395 395
395 277 391 265
612 290 618 297
276 112 268 108
438 322 426 324
501 290 491 295
639 388 638 390
311 341 303 340
295 181 291 167
408 273 405 270
235 164 239 172
403 424 413 420
444 84 442 93
363 264 356 275
252 100 252 99
421 412 419 411
193 160 182 169
205 169 215 161
237 407 224 406
221 428 228 437
378 436 387 430
423 280 421 274
321 15 324 18
526 467 524 462
198 267 196 270
309 274 304 267
501 415 514 414
503 295 514 291
467 347 459 344
202 63 206 74
480 288 485 291
274 276 271 282
613 354 613 352
57 467 61 472
363 442 361 442
234 0 239 0
429 417 433 424
457 198 465 192
135 138 137 151
257 390 249 393
403 243 404 255
485 331 484 328
314 266 320 262
375 417 369 411
217 254 222 250
279 267 285 278
309 402 307 404
280 119 279 127
553 250 558 255
444 418 452 410
281 39 281 53
253 163 251 159
355 422 358 417
529 305 530 315
556 317 561 315
575 235 573 234
45 203 48 189
372 77 354 64
413 443 415 447
615 376 624 369
459 409 461 410
611 409 612 412
585 282 592 280
53 334 53 332
156 224 157 221
37 69 42 63
90 381 90 389
361 444 359 445
63 317 63 316
37 112 42 106
502 417 507 417
5 319 4 320
41 338 41 308
70 300 66 304
639 338 639 334
0 370 0 364
452 429 448 438
558 376 556 378
33 68 37 76
3 166 13 166
24 125 26 119
552 338 553 328
430 43 434 52
13 445 0 447
141 470 140 460
46 339 44 340
17 432 24 420
168 433 175 424
436 118 397 104
444 129 454 160
429 296 414 317
334 112 344 159
610 313 594 271
200 383 204 347
63 284 92 323
410 108 421 151
469 355 412 347
200 99 188 49
404 346 390 323
350 288 359 307
415 387 420 432
609 403 603 377
391 161 354 151
639 268 622 257
593 402 594 381
294 170 299 199
206 65 208 90
410 440 415 417
280 420 283 393
215 161 216 136
241 267 244 241
276 384 249 359
514 345 540 340
303 380 272 358
596 224 577 236
285 297 270 311
263 303 223 299
211 304 231 286
232 290 284 293
41 308 70 300
33 353 0 356
499 237 556 234
303 376 274 356
346 297 317 3
67 57 67 258
289 0 256 13
634 322 616 241
377 37 401 254
447 283 435 186
326 175 337 349
176 124 179 167
444 194 454 287
596 246 500 267
637 264 596 246
105 476 106 98
392 376 344 352
364 214 442 224
100 475 98 297
226 0 334 167
269 196 267 151
179 167 104 146
296 135 267 151
314 277 303 168
465 317 468 282
281 160 288 278
579 349 590 401
522 307 379 286
264 231 270 284
475 94 500 281
469 96 491 246
552 420 551 347
152 334 254 340
362 389 372 441
278 425 223 433
202 0 67 57
320 0 324 47
512 386 522 426
61 430 63 465
597 319 512 333
135 116 135 152
206 391 208 460
497 229 577 236
312 29 274 41
223 299 263 303
354 405 361 460
251 82 199 59
37 251 42 106
52 97 48 246
0 208 48 189
63 68 58 204
17 122 11 258
234 231 237 267
321 470 314 390
639 194 489 172
551 307 548 349
23 468 22 432
451 0 515 57
639 460 425 479
488 278 517 286
405 320 412 347
245 227 249 279
12 317 9 343
251 225 255 277
213 352 261 366
