num = 1268
402 327 382 313
406 346 368 348
398 347 401 327
472 375 448 368
448 368 427 348
427 348 448 365
463 296 463 276
463 276 498 276
323 220 321 252
151 373 154 395
149 314 130 317
129 323 112 342
133 300 113 302
445 188 469 193
445 282 446 263
446 263 391 250
389 246 409 251
349 229 348 256
361 233 361 259
655 107 676 108
668 136 658 116
346 306 353 327
353 327 348 353
348 344 341 311
112 364 110 393
118 400 117 448
127 448 126 420
126 420 132 395
424 346 421 327
96 284 56 286
441 439 445 410
445 410 436 366
430 366 418 424
534 311 556 282
554 281 537 301
586 187 592 207
597 452 574 424
223 477 203 468
625 299 649 300
639 317 617 315
286 430 296 459
296 459 272 461
589 437 588 369
588 369 699 363
561 103 574 118
655 435 678 432
485 331 482 304
548 391 551 445
551 445 569 432
698 488 685 445
175 467 207 466
426 285 414 302
668 25 668 52
522 486 532 507
537 508 544 487
403 115 405 140
169 371 165 334
165 334 277 322
277 322 309 331
625 161 606 160
585 158 589 136
209 248 14 255
364 296 383 298
357 97 354 127
698 495 682 451
420 425 412 444
402 444 414 364
390 363 368 352
572 362 686 359
686 359 689 333
689 333 611 324
611 324 550 337
550 337 553 370
589 192 610 196
551 330 688 326
302 415 299 395
334 357 339 378
358 365 355 344
438 108 438 127
153 174 154 212
154 212 156 174
698 396 694 430
512 158 511 193
275 245 279 211
483 10 424 11
422 15 438 27
589 98 628 104
627 217 649 214
467 377 468 429
468 429 487 465
487 465 517 473
305 10 338 48
637 134 665 136
152 516 142 480
665 198 643 206
40 104 33 122
138 364 137 406
15 216 14 180
14 180 12 215
421 264 418 284
272 317 302 314
308 324 272 319
563 442 584 441
469 410 479 450
651 80 654 101
419 154 419 132
419 132 421 154
474 424 470 389
403 21 403 58
558 280 699 272
74 337 73 317
151 461 148 440
388 136 428 171
615 162 617 187
285 407 286 374
452 413 450 377
291 274 315 277
327 274 301 268
689 47 687 26
538 208 539 189
200 321 166 326
169 319 207 319
586 111 585 82
60 327 57 305
591 243 612 240
414 317 424 298
490 399 484 379
367 58 401 69
473 323 477 304
194 15 195 55
448 59 449 40
384 220 355 208
461 81 441 82
189 453 209 449
70 174 70 215
70 215 72 174
536 44 535 17
457 240 527 242
489 130 489 105
387 217 386 151
71 69 70 111
233 233 237 174
347 11 367 28
39 312 35 332
331 509 339 486
543 419 525 357
15 0 15 21
254 172 250 199
585 251 586 228
661 21 628 18
628 18 661 19
488 42 488 14
537 136 538 105
440 110 439 132
182 372 305 369
73 70 72 110
139 351 161 351
294 439 312 443
311 353 312 328
475 296 451 302
460 308 479 296
547 404 539 374
663 460 682 459
144 362 143 437
18 0 17 22
545 246 565 243
552 447 546 511
514 298 511 316
81 354 57 352
539 286 502 282
444 222 454 242
699 254 676 249
217 186 221 165
159 507 160 474
640 425 637 405
637 405 637 424
21 352 20 287
180 445 161 447
669 375 692 375
541 280 523 266
591 378 636 375
594 404 620 403
596 453 573 454
222 438 224 414
416 443 436 438
666 482 684 494
52 367 109 366
651 467 619 457
436 342 436 315
591 279 687 278
1 302 2 336
699 501 673 499
66 506 45 514
635 468 614 474
609 480 638 481
638 481 665 494
485 468 420 467
107 392 0 395
257 301 229 297
411 374 389 375
222 502 241 504
342 387 387 386
230 519 207 513
608 217 615 218
376 328 387 328
45 324 48 325
324 297 314 295
666 53 658 45
308 250 318 243
250 256 259 265
361 284 357 281
349 202 345 190
659 59 652 71
161 374 154 368
601 233 603 233
354 203 357 193
368 166 366 167
147 303 149 314
635 107 632 101
508 198 510 198
684 129 694 135
460 231 460 230
412 219 420 223
523 198 522 198
510 427 498 433
479 290 465 293
614 204 613 207
396 157 396 159
607 203 607 204
393 243 396 245
547 197 552 189
425 342 424 341
138 313 145 305
528 307 537 301
698 0 690 0
403 195 401 195
586 187 589 199
0 276 0 280
598 254 605 261
614 449 614 438
699 148 699 151
413 170 411 170
534 209 535 200
574 7 573 15
542 188 537 190
563 256 553 256
0 232 0 227
507 446 513 451
370 102 371 103
678 432 684 426
378 116 376 115
380 236 369 233
617 257 611 260
349 432 340 441
635 158 635 160
616 155 614 155
411 273 421 278
636 442 636 444
304 55 301 65
559 44 561 44
688 111 694 118
565 200 558 199
326 110 334 116
403 139 405 140
128 445 128 447
516 68 529 67
322 430 318 439
483 189 471 185
42 298 42 312
585 158 589 157
493 320 491 320
543 138 545 150
357 97 354 105
47 363 47 361
513 44 514 43
243 239 246 239
544 379 558 376
307 403 299 395
488 425 485 416
421 176 419 176
514 9 525 0
36 131 41 127
181 421 179 421
156 164 159 171
510 44 510 43
537 63 536 53
252 107 261 106
470 151 469 154
433 45 438 42
589 184 603 189
412 321 411 321
492 425 494 422
100 60 100 64
187 201 185 201
7 307 6 300
97 352 105 355
683 433 679 441
118 59 120 62
253 15 253 14
103 209 103 208
152 516 134 395
464 103 475 97
105 98 104 100
411 148 415 151
282 138 282 140
43 243 45 244
468 271 462 263
467 43 467 41
144 97 143 95
89 123 89 121
26 124 33 122
343 292 347 299
244 122 245 121
631 51 643 49
587 152 589 155
503 298 505 312
283 118 282 123
648 161 649 163
642 203 634 191
322 195 320 194
240 251 246 255
35 350 34 339
276 43 273 42
132 57 135 58
175 111 177 110
567 188 572 197
642 92 644 99
15 216 7 228
122 203 122 205
424 288 418 284
108 97 108 99
577 95 568 106
130 157 143 164
132 202 133 202
272 312 272 319
567 435 580 433
116 10 123 4
572 93 560 94
207 155 215 148
419 154 421 154
113 289 127 288
64 304 75 311
74 303 73 317
42 65 36 68
431 166 428 179
167 431 162 437
570 100 578 102
48 106 45 103
222 440 211 449
104 13 104 6
246 99 245 99
245 65 248 61
596 92 609 97
544 458 539 448
555 0 550 12
459 96 449 91
578 199 583 208
695 47 699 43
55 136 57 144
540 198 539 189
271 240 274 242
381 175 379 185
692 72 682 66
275 135 274 137
200 321 207 319
349 207 351 208
57 305 50 313
554 372 550 366
14 65 14 115
10 125 17 137
187 55 187 49
41 366 49 361
193 89 193 91
653 253 641 260
438 107 447 108
466 375 467 387
504 202 509 195
480 214 492 215
279 31 281 42
570 176 573 190
70 174 72 174
534 30 534 29
458 227 464 236
489 130 491 131
215 196 215 197
135 209 136 208
28 11 32 24
451 92 457 93
615 131 615 118
642 153 635 149
166 411 163 402
154 82 155 81
623 120 618 114
179 161 181 161
239 112 236 121
611 244 617 244
113 319 105 316
34 319 35 332
653 430 641 427
256 231 253 240
577 392 572 379
672 172 665 161
45 11 46 9
181 87 174 88
125 175 129 182
406 268 400 274
589 139 599 150
442 201 441 199
664 24 661 19
622 126 626 124
428 163 428 159
442 271 436 266
45 105 50 107
123 165 126 165
275 24 272 26
179 199 184 198
107 167 104 166
98 66 97 65
91 201 88 201
630 244 643 246
96 330 90 318
672 435 676 438
27 102 41 101
311 427 316 439
204 197 201 198
542 16 551 14
103 320 112 324
420 317 425 326
174 412 169 398
699 53 696 50
38 175 26 183
675 187 665 191
487 447 481 448
517 16 510 15
663 460 677 457
110 173 117 182
447 129 459 128
450 113 460 114
545 152 545 138
348 274 341 282
138 71 134 70
207 58 206 69
525 111 514 118
668 248 678 254
66 332 63 335
439 90 441 101
79 344 80 346
658 36 654 29
395 27 383 26
672 246 662 244
449 140 463 138
304 234 304 229
621 137 612 131
77 159 79 172
431 209 445 204
641 28 642 29
74 0 71 0
518 313 526 318
553 247 556 247
56 359 58 355
217 205 218 196
283 385 280 378
478 109 482 113
215 106 211 113
505 186 510 187
282 409 280 411
699 254 699 248
460 214 470 204
277 411 283 412
154 159 147 164
261 265 261 268
567 233 560 231
480 25 472 34
589 128 586 125
192 411 194 401
10 137 10 151
150 51 149 40
158 161 165 173
219 19 221 10
221 47 219 35
469 341 473 338
609 399 602 386
602 386 607 386
273 406 262 407
690 124 679 133
62 239 61 243
228 431 240 427
206 429 213 417
379 61 382 60
638 399 632 399
608 436 596 434
220 395 224 388
222 311 220 308
646 396 658 390
146 511 145 508
601 412 610 405
364 505 354 494
410 468 401 476
378 492 371 491
232 516 239 517
409 406 406 419
40 479 49 477
368 337 393 332
325 146 322 192
311 232 308 212
151 373 163 411
